year,date,count,DOY,month
2012,21-Jun,6,172,3
2012,22-Jun,8,173,3
2012,23-Jun,9,174,3
2012,24-Jun,9,175,3
2012,27-Jun,16,178,3
2012,28-Jun,17,179,3
2012,29-Jun,14,180,3
2012,30-Jun,36,181,3
2012,2-Jul,17,183,2
2012,3-Jul,35,184,2
2012,4-Jul,23,185,2
2012,5-Jul,38,186,2
2012,6-Jul,31,187,2
2012,7-Jul,3,188,2
2012,8-Jul,48,189,2
2012,9-Jul,29,190,2
2012,10-Jul,27,191,2
2012,11-Jul,13,192,2
2012,12-Jul,11,193,2
2012,13-Jul,10,194,2
2012,15-Jul,6,196,2
2012,17-Jul,5,198,2
2012,19-Jul,1,200,2
2013,22-Jun,2,173,3
2013,23-Jun,2,174,3
2013,24-Jun,5,175,3
2013,25-Jun,5,176,3
2013,26-Jun,34,177,3
2013,27-Jun,38,178,3
2013,29-Jun,56,180,3
2013,1-Jul,28,182,2
2013,2-Jul,42,183,2
2013,3-Jul,61,184,2
2013,5-Jul,50,186,2
2013,6-Jul,36,187,2
2013,7-Jul,12,188,2
2013,8-Jul,42,189,2
2013,10-Jul,28,191,2
2013,12-Jul,19,193,2
2013,13-Jul,3,194,2
2013,14-Jul,10,195,2
2013,16-Jul,4,197,2
2013,18-Jul,1,199,2
2014,23-Jun,2,174,3
2014,25-Jun,5,176,3
2014,26-Jun,3,177,3
2014,27-Jun,6,178,3
2014,28-Jun,9,179,3
2014,29-Jun,26,180,3
2014,30-Jun,42,181,3
2014,1-Jul,55,182,2
2014,2-Jul,79,183,2
2014,5-Jul,116,186,2
2014,6-Jul,36,187,2
2014,8-Jul,182,189,2
2014,10-Jul,189,191,2
2014,12-Jul,164,193,2
2014,14-Jul,150,195,2
2014,17-Jul,90,198,2
2014,21-Jul,23,202,2
2014,25-Jul,6,206,2
2014,29-Jul,1,210,2
2014,4-Aug,1,216,1
2015,18-Jun,4,169,3
2015,19-Jun,8,170,3
2015,22-Jun,18,173,3
2015,24-Jun,36,175,3
2015,26-Jun,55,177,3
2015,29-Jun,52,180,3
2015,30-Jun,81,181,3
2015,2-Jul,80,183.5,2
2015,5-Jul,193,186.5,2
2015,7-Jul,103,188.5,2
2015,9-Jul,277,190.5,2
2015,13-Jul,224,195,2
2015,16-Jul,139,197.5,2
2015,20-Jul,80,201.5,2
2015,24-Jul,17,205.5,2
2015,28-Jul,8,209,2
2015,30-Jul,4,211,2
2015,3-Aug,1,215,1
2016,21-Jun,2,172,3
2016,22-Jun,2,173,3
2016,24-Jun,2,175,3
2016,27-Jun,12,178,3
2016,30-Jun,30,181,3
2016,1-Jul,49,182,2
2016,5-Jul,88,186.5,2
2016,7-Jul,96,188.5,2
2016,11-Jul,101,192.5,2
2016,13-Jul,98,194.5,2
2016,16-Jul,43,198,2
2016,19-Jul,15,200,2
2016,20-Jul,5,201,2
2016,21-Jul,5,202,2
2016,25-Jul,1,206,2
2017,30-Jun,2,181,3
2017,2-Jul,7,183,2
2017,4-Jul,18,185,2
2017,6-Jul,28,187,2
2017,9-Jul,23,190,2
2017,12-Jul,34,193,2
2017,16-Jul,21,197,2
2017,18-Jul,15,199,2
2017,20-Jul,18,201,2
2017,22-Jul,15,203,2
2017,26-Jul,4,207,2
2018,27-Jun,3,178,3
2018,30-Jun,11,181,3
2018,3-Jul,28,184,2
2018,7-Jul,29,188,2
2018,10-Jul,16,191,2
2018,13-Jul,13,194,2
2019,28-Jun,1,179,3
2019,2-Jul,1,183,2
2019,11-Jul,4,192,2
2019,14-Jul,1,195,2
2019,16-Jul,1,197,2
