"year","observed","voc","grpsize"
2005,1,20,4
2005,1,85,2
2005,0,80,1
2005,0,75,1
2005,0,70,1
2005,0,85,1
2005,1,20,1
2005,1,10,2
2005,1,10,2
2005,1,70,2
2005,0,20,2
2006,1,30,3
2006,1,20,2
2006,1,20,4
2006,1,20,1
2006,0,85,1
2006,1,10,1
2006,0,90,1
2006,0,60,1
2006,1,40,2
2007,0,80,1
2007,1,15,1
2007,0,90,1
2007,0,50,1
2007,0,95,1
2007,0,95,1
2007,1,0,1
2007,0,80,1
2007,0,90,1
2007,1,30,1
2007,1,20,3
2007,1,30,3
2007,1,35,3
2007,0,40,1
2007,1,50,3
2007,0,80,5
2007,1,10,4
2007,0,80,3
2005,1,80,2
2006,0,80,2
2006,0,85,1
2005,0,90,2
2005,1,80,1
2005,1,75,1
2005,0,90,2
2005,0,30,4
2005,1,0,7
2005,1,30,5
2005,0,30,3
2005,1,65,1
2006,0,40,1
2006,1,50,1
2006,0,60,2
2006,1,40,3
2006,0,85,1
2006,1,20,3
2006,0,30,2
2006,0,40,2
2006,0,90,1
2006,1,50,1
2006,1,40,3
2006,1,30,1
2006,1,50,5
2006,1,10,1
2006,0,60,1
2006,0,80,2
2007,0,20,3
2007,0,95,1
2007,1,10,1
2007,0,30,1
2007,0,20,1
2007,0,40,1
2007,1,75,1
2007,0,85,3
2007,1,5,1
2007,1,20,4
2007,0,20,1
2007,0,75,1
2007,0,85,2
2005,0,90,2
2006,1,55,2
2005,1,70,2
2005,0,75,2
2005,0,60,2
2005,1,90,2
2005,0,90,3
2005,1,85,2
2005,1,50,2
2005,1,50,2
2005,0,50,2
2005,0,50,3
2005,1,5,2
2005,1,70,2
2005,1,10,3
2005,0,50,2
2005,1,40,2
2005,0,70,2
2005,1,60,2
2006,0,80,3
2006,0,10,2
2006,0,50,2
2006,1,95,2
2006,1,60,3
2006,1,60,3
2006,0,40,3
2006,0,60,2
2006,1,95,2
2007,0,65,2
2007,0,70,2
2007,1,40,2
2007,1,10,2
2007,0,75,2
2007,1,50,2
2007,0,60,2
2007,0,70,2
2007,0,95,3
2007,0,60,2
2007,1,75,2
2007,1,10,2
2007,0,40,2
2007,0,90,2
2007,0,60,2
2007,0,60,2
2007,1,65,2
