TREAT,PATCH,QUAD,ALGAE
con,1,1, 0
con,1,2, 0
con,1,3, 0
con,1,4, 6
con,1,5, 2
con,2,1, 0
con,2,2, 0
con,2,3, 0
con,2,4, 0
con,2,5, 0
con,3,1, 0
con,3,2, 0
con,3,3, 0
con,3,4, 4
con,3,5, 1
con,4,1, 0
con,4,2, 0
con,4,3, 0
con,4,4,13
con,4,5, 0
t0.66,5,1,23
t0.66,5,2,17
t0.66,5,3, 0
t0.66,5,4,56
t0.66,5,5,46
t0.66,6,1, 0
t0.66,6,2,79
t0.66,6,3,32
t0.66,6,4,51
t0.66,6,5,22
t0.66,7,1, 5
t0.66,7,2, 0
t0.66,7,3, 0
t0.66,7,4, 0
t0.66,7,5, 0
t0.66,8,1, 0
t0.66,8,2,56
t0.66,8,3, 3
t0.66,8,4, 0
t0.66,8,5,41
t0.33,9,1, 0
t0.33,9,2, 5
t0.33,9,3, 8
t0.33,9,4, 0
t0.33,9,5, 0
t0.33,10,1, 0
t0.33,10,2, 0
t0.33,10,3, 0
t0.33,10,4, 0
t0.33,10,5, 0
t0.33,11,1,43
t0.33,11,2, 8
t0.33,11,3,69
t0.33,11,4,29
t0.33,11,5,39
t0.33,12,1,40
t0.33,12,2,63
t0.33,12,3, 0
t0.33,12,4,71
t0.33,12,5, 5
rem,13,1,46
rem,13,2,44
rem,13,3,41
rem,13,4,29
rem,13,5,11
rem,14,1,65
rem,14,2,55
rem,14,3,61
rem,14,4,74
rem,14,5,55
rem,15,1, 0
rem,15,2, 5
rem,15,3, 0
rem,15,4, 0
rem,15,5, 6
rem,16,1,30
rem,16,2,82
rem,16,3,70
rem,16,4,27
rem,16,5,83
