"y","n","land.use","sewer","nitrate","chloride"
0,17,"undev","yes",1,10
0,59,"undev","no",0.8,17
0,7,"agri","yes",0.9,9
2,48,"agri","no",7,20
0,5,"resL","yes",1.6,6
2,21,"resL","no",3.5,14
12,43,"resM","yes",3.9,18
5,86,"resM","no",2.6,15
33,76,"resH","yes",5.2,33
1,17,"resH","no",4.2,18
3,26,"recr","yes",2.3,16
4,38,"recr","no",1.7,11
8,32,"inst","yes",3.3,36
0,22,"inst","no",0.9,11
7,29,"trans","yes",4,66
1,30,"trans","no",1.3,12
20,42,"comm","yes",4.3,24
0,7,"comm","no",1.1,30
17,33,"indus","yes",3.7,23
3,12,"indus","no",2.2,19
